,,0,1,2,3,4,5
frequency_of_comments_stddev,median,0.00730353955179671,0.0545264754400675,0.150012496078721,0.00440490867668056,0.0293046531012337,0.00112627325191129
frequency_of_comments_stddev,q3,0.0157695193791047,0.0749238948071957,0.204520608741542,0.0097496959566788,0.0556063734421881,0.00208545285696869
frequency_of_comments_stddev,max,0.0830295958922993,0.261253083579981,1.00000017488032,0.0869697306039952,0.354530630098762,0.0786262586208078
number_of_received_responses_to_post_max,min,0.0,0.0,0.0,0.0,0.00360576923076923,0.0
number_of_received_responses_to_post_max,mean,0.0106109279265041,0.0149535734930125,0.0596361496931383,0.000340652680031643,0.0983977276263381,0.000540025286607151
number_of_received_responses_to_post_max,median,0.00600961538461538,0.0102163461538462,0.0504807692307692,0.0,0.0835336538461538,0.0
number_of_received_responses_to_post_max,q3,0.0132211538461538,0.0228365384615385,0.0823317307692308,0.0,0.115985576923077,0.0
number_of_received_responses_to_post_max,max,0.111778846153846,0.115384615384615,0.444711538461538,0.0258413461538462,1.0,0.0631009615384615
number_of_received_responses_to_post_q3,min,0.0,0.0,0.0,0.0,0.00235802711731185,0.0
number_of_received_responses_to_post_q3,mean,0.00774722271321816,0.00838919198020989,0.0283840264762925,0.000397865508207647,0.0679982476958679,0.000598321687272495
number_of_received_responses_to_post_q3,median,0.0047160542346237,0.0062880723128316,0.0235802711731185,0.0,0.0569856553350364,0.0
number_of_received_responses_to_post_q3,q3,0.0094321084692474,0.0131656514049912,0.0379249361367656,0.0,0.0803694242483789,0.0
number_of_received_responses_to_post_q3,max,0.0660247592847318,0.0558066417763804,0.230497150717233,0.0330123796423659,1.0,0.0532521123992926
number_of_received_responses_under_comments_q3,min,0.0,0.0,0.0,0.0,0.0,0.0
number_of_received_responses_under_comments_q3,mean,0.0337927918185751,0.0410763153248588,0.0468556288742252,0.0349303298342836,0.067334142394822,0.0142313800448857
number_of_received_responses_under_comments_q3,median,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0666666666666667,0.0
number_of_received_responses_under_comments_q3,q3,0.0416666666666667,0.0666666666666667,0.0666666666666667,0.0333333333333333,0.0666666666666667,0.0333333333333333
number_of_received_responses_under_comments_q3,max,0.466666666666667,0.266666666666667,0.133333333333333,0.666666666666667,1.0,0.766666666666667
number_of_received_responses_under_comments_max,min,0.0,0.0,0.0,0.0,0.0,0.0
number_of_received_responses_under_comments_max,mean,0.00630256969005238,0.0138281444728315,0.0230821482762271,0.00577346637088256,0.0201350716257377,0.0017549556625115
number_of_received_responses_under_comments_max,median,0.00735294117647059,0.0147058823529412,0.0183823529411765,0.00367647058823529,0.0183823529411765,0.0
number_of_received_responses_under_comments_max,q3,0.00735294117647059,0.0183823529411765,0.0257352941176471,0.00735294117647059,0.0257352941176471,0.00367647058823529
number_of_received_responses_under_comments_max,max,0.0772058823529412,0.132352941176471,1.0,0.0772058823529412,0.128676470588235,0.0845588235294118
number_of_own_post_responses_q3,min,0.0,0.0,0.0,0.0,0.0,0.0
number_of_own_post_responses_q3,mean,0.00763847521065291,0.0143877861011895,0.0487590354692481,0.00045420051757447,0.042882470548875,0.000123500126707517
number_of_own_post_responses_q3,median,0.00546719681908549,0.010934393638171,0.0417495029821074,0.0,0.0333001988071571,0.0
number_of_own_post_responses_q3,q3,0.0099403578528827,0.0223658051689861,0.0666003976143141,0.0,0.062624254473161,0.0
number_of_own_post_responses_q3,max,0.115805168986083,0.120278330019881,0.31610337972167,0.0392644135188867,1.0,0.0616302186878728
number_of_words_in_posts_q3,min,0.0,0.0,0.0,0.0,0.0,0.0
number_of_words_in_posts_q3,mean,0.0116742323864849,0.00576581777909854,0.00711646292663628,0.00064537155824893,0.0132547127108765,0.00162139142734675
number_of_words_in_posts_q3,median,0.00834822610537464,0.00406448570293884,0.00582886550172094,0.0,0.00989955652634366,0.0
